_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
18685,639,536699,Lescon Public School,,EP,Toronto District School Board,34 Lescon Rd,English Public,536699,34,Lescon Rd,34 Lescon Rd,M2J 2G6,North York,Toronto,Lescon Public School - Building Grounds,102001,437795,34,,,,6046,316254.981,4848774.677,43.780843486,-79.357494608,POINT (-79.35749461294405 43.78084348971008)
18686,640,832942,Leslieville Jr Public School,,EP,Toronto District School Board,254 Leslie St,English Public,832942,254,Leslie St,254 Leslie St,M4M 3C9,former Toronto,Toronto,Leslieville Public School Junior,102001,1142529,254,,,,225,318299.667,4836166.593,43.667329353199996,-79.332410943,POINT (-79.33240772389864 43.66732076791229)
18687,641,390705,Lester B Pearson Collegiate Institute,,EP,Toronto District School Board,150 Tapscott Rd,English Public,390705,150,Tapscott Rd,150 Tapscott Rd,M1B 2L2,Scarborough,Toronto,Lester B Pearson Collegiate Institute,102002,104524,150,,,,9057,326879.485,4851299.904,43.8033425352,-79.2254018718,POINT (-79.22539867219211 43.80333392164258)
18688,642,9487216,Lester B Pearson Elementary School,,EP,Toronto District School Board,7 Snowcrest Ave,English Public,9487216,7,Snowcrest Ave,7 Snowcrest Ave,M2K 2K5,North York,Toronto,Lester B. Pearson Elementary School,115001,9487214,7,,,,6738,313841.101,4850045.909,43.7923280498,-79.3874655672,POINT (-79.38746231628419 43.79231944253588)
18689,643,8754456,Liberty Preparatory School - Corktown,,PR,,162 Parliament St,Priv,8754456,162,Parliament St,162 Parliament St,M5A 2Z1,former Toronto,Toronto,,115001,8754429,162,,,,4162,315694.397,4834795.306,43.655028696,-79.36474415069999,POINT (-79.36474092610977 43.65502011097977)
18690,644,30041552,Liberty Preparatory School - Leslieville,,PR,,24 Boston Ave,Priv,30041552,24,Boston Ave,24 Boston Ave,M4M 2T9,former Toronto,Toronto,,115001,14024804,24,,,,3035,317728.76399999997,4835583.921,43.662086206000005,-79.339501218,POINT (-79.33950122161457 43.66208621055426)
18691,645,537109,Lillian Public School,,EP,Toronto District School Board,1059 Lillian St,English Public,537109,1059,Lillian St,1059 Lillian St,M2M 3G1,North York,Toronto,Lillian Public School,102001,3252289,1059,,,,3850,311994.601,4850654.9860000005,43.7978299753,-79.4104017588,POINT (-79.41039850221682 43.79782136966284)
18692,646,30114181,Little Owl Preschool Elementary,,PR,,99A Sheppard Ave W,Priv,30114181,99A,Sheppard Ave W,99A Sheppard Ave W,,North York,Toronto,,115001,439927,99,A,,,6699,311544.419,4846466.528,43.76012522,-79.416045339,POINT (-79.41604533545204 43.76012521776398)
18693,647,561946,Lolart School,,PR,,87 Sheppard  Ave W,Priv,561946,87,Sheppard Ave W,87 Sheppard Ave W,M2N 1M4,North York,Toronto,,112001,439896,87,,,,6699,311600.053,4846488.525,43.7603313423,-79.4153573417,POINT (-79.41535409076387 43.7603227430533)
18694,648,14172941,Lord Dufferin Jr and Sr Public School,,EP,Toronto District School Board,350 Parliament St,English Public,14172941,350,Parliament St,350 Parliament St,M5A 2Z7,former Toronto,Toronto,Lord Dufferin Public School,102001,30073974,350,,,,4162,315514.779,4835439.867,43.660824533,-79.366955064,POINT (-79.36695506173467 43.66082453733378)
18695,649,8105948,Lord Lansdowne Jr and Sr School,,EP,Toronto District School Board,33 Robert St,English Public,8105948,33,Robert St,33 Robert St,M5S 2K2,former Toronto,Toronto,,115001,14022601,33,,,,844,312695.73600000003,4835227.994,43.65896162560001,-79.4019130913,POINT (-79.40190985097907 43.65895303952984)
